ID,Epsilon,Epsilon_e,Teff,Teff_e
203530127,1.137346398363236,0.023270543495819696,6212,45.0
211311380,1.1081078495532468,0.025575594749019936,6339,50.0
211401787,1.1395239930143306,0.023133562354410664,6336,53.0
211780967,0.9411869135159407,0.023292573861637855,6432,36.0
212026577,1.3087447699681884,0.007810624846562142,6118,43.0
212053807,1.4024075294078406,0.022908218645253497,5729,36.0
212291429,0.8785246648759326,0.05073699612007754,6625,46.0
212305951,1.1907284297437515,0.018425015775399567,6266,45.0
212306203,0.7717493320865599,0.07087755364947557,6790,44.0
212340257,1.0468408223670351,0.09566131223872565,6187,44.0
212485100,1.2746058035259349,0.009237383267466703,6106,39.0
212487676,1.2772053997100912,0.011853010453645396,6015,46.0
212509747,1.0104925887250444,0.01465883785473543,6422,39.0
212516207,1.1143890998879145,0.007796904165564444,6152,53.0
212617037,0.8948871483572457,0.016784212842399948,6570,45.0
212624487,1.3013196211024933,0.013126481295685277,6143,41.0
212636554,1.0474311018447755,0.02276397830895982,6396,39.0
212692724,1.101876930405667,0.011571867633995425,6258,48.0
212708252,1.5229908116331314,0.007854708325970461,5550,31.0
212709512,1.1950970844493078,0.011319224976759856,5967,42.0
212709737,0.9997766582967612,0.03734944199607454,6563,51.0
212710665,1.1887951354165325,0.02876802310880533,5999,41.0
212728118,1.0287506372040027,0.03178875898142253,6423,40.0
212772187,0.6971831211064499,0.021036481857535372,6466,49.0
212819198,0.9961829793968354,0.029059470020330935,6434,77.0
213332010,1.270878076337304,0.012193846643839157,6046,40.0
213554577,1.1978789677936488,0.06316279277144377,6269,44.0
213841509,1.3199113196532597,0.0106493660209116,6016,38.0
214073502,1.4123755229826598,0.009060869485830292,5657,46.0
215035735,1.1810039508091266,0.011541122245057989,6050,49.0
216228024,1.4278001345514733,0.011506621767785385,5801,34.0
219179379,1.0672478201271192,0.022272364554021484,6373,43.0
220292272,1.0063201809894478,0.02973492141487072,6468,49.0
220374993,1.0855560744547754,0.031599072767977576,6366,55.0
220623859,1.3360914590390562,0.015000132576150738,5971,43.0
221823709,1.138932656630126,0.024233989655572996,6365,47.0
224535896,1.4127808795337395,0.010513203316173225,5779,42.0
226083290,1.1972142384442033,0.042486405183817966,6204,42.0
226464131,1.420405070838604,0.0433207163697239,5785,46.0
228704734,1.047169073113701,0.016913781694418706,6332,51.0
228720824,1.3059176520017488,0.051712773012979385,6170,77.0
228775782,1.4798861066647038,0.014086177332014005,5810,40.0
228818122,0.9416542864804738,0.06003437854076227,6455,36.0
228984381,1.2908587645946539,0.011668731003591115,5848,35.0
230748783,1.4964103179062276,0.011277297584868728,5633,37.0
231478973,1.1217282241551059,0.011997722370135855,6217,42.0
233933903,1.3283856220542622,0.0884395852423212,5704,112.0
233947029,1.2633449942294104,0.006797062145155963,5772,50.0
234863731,1.2233667533363652,0.03555197098705665,6084,46.0
235124375,1.2165723645120339,0.0120238837490938,6210,38.0
236012973,1.432056882232819,0.005495647374930246,5549,37.0
236344582,1.3737578083425284,0.007010168973795028,6008,50.0
237799552,1.4073221141900365,0.009024445088116395,5794,40.0
241011563,1.3914109133677544,0.006874101724349324,5889,39.0
242184803,1.2502944946070682,0.012760099655413026,6030,37.0
245939167,1.1641514848552208,0.017390890831855743,6214,47.0
245972483,1.1710473774359313,0.014508833594534476,6132,39.0
246011640,1.055447826657705,0.02457799032125052,6273,53.0
246018042,1.2259977527897825,0.03457545918352711,6303,43.0
246025837,1.4074221490765744,0.008869384568846561,5789,41.0
246033065,1.2472218005496125,0.01124656077908237,6133,34.0
246054188,1.2149585737691757,0.0265003655916094,6100,45.0
246069493,1.3402269700668148,0.003519496348427631,5979,39.0
246099088,0.8618281718505246,0.03199444043877919,6505,40.0
246134147,1.2190763392125483,0.015046926664296745,6237,45.0
246163607,0.937421510961271,0.017803159749336495,6397,47.0
246212144,1.0556446824784511,0.05688771648747848,6365,49.0
246256752,1.199613964984024,0.02456995955284902,6183,47.0
246257644,1.2142734617442508,0.044218726255814245,6190,43.0
246260292,1.0310832084636388,0.017796515347598074,6471,125.0
246301897,1.1992537813359123,0.019445224797516536,6330,49.0
246358796,1.222334457059441,0.011828498694687828,6218,38.0
246418246,1.3436119770830897,0.009778768762178092,5948,35.0
246438837,1.0856481223789731,0.024441763043645093,6159,42.0
246696804,0.8728524460975621,0.03394711152655472,6662,51.0
246758642,1.126347551349529,0.03827459872763472,6304,52.0
246843060,1.1888802698061358,0.014945040985173685,6219,35.0
246907677,1.0330386609472262,0.020357341046912336,6376,50.0
247236354,1.175930285445639,0.017596114141598895,6177,41.0
247643791,1.0641140147498596,0.03882483073319776,6321,42.0
247906277,1.5142240369662523,0.010781519353637359,5659,33.0
247992384,1.0718359808098603,0.0332164617890397,6390,35.0
248424564,1.4768906822488652,0.01054040739473694,5709,49.0
248505415,1.0829441881616193,0.0465991515124875,6393,39.0
248530476,0.9620460980771496,0.0343942133813222,6465,61.0
248553904,1.1593804868996562,0.007262008973501377,6268,36.0
248593082,0.9592558985407174,0.019931402270489174,6406,40.0
248641774,1.3251640097973216,0.005388971049699265,6110,42.0
248643218,1.146682513387964,0.026013908666866814,6194,54.0
248662379,1.1919466924232505,0.008581527939175548,6167,60.0
248665653,1.2156372297311453,0.006894853731763906,5983,60.0
248687497,1.2199529657251462,0.01219530830777349,6227,45.0
248729983,1.1275690709614525,0.02379096032760364,6266,46.0
248777106,1.3235572882317745,0.012497366751602623,5573,40.0
248785352,1.4192704169587822,0.00566106601255556,5856,42.0
248825038,1.1462836078952852,0.0292155042985357,6317,38.0
248842300,1.0321678103778624,0.034820339389018795,6445,35.0
248891803,1.0982202874085705,0.032745565805302745,6062,42.0
249151042,1.243340805168653,0.011043355621889184,6081,69.0
249154730,0.9866083131721672,0.022349042504046568,6531,53.0
249200379,1.238777501900274,0.01960476174009096,6065,56.0
249404897,1.279922747792631,0.02674846417557719,5913,59.0
249549448,1.402267381798527,0.025374311267576166,5949,43.0
249580606,1.2289046301790358,0.014423283101965056,5933,34.0
249589868,1.0562369377447445,0.02960355205080789,6475,52.0
249602800,1.311222221605983,0.011668918937544626,5877,40.0
249620304,1.214089884525138,0.013817714442105888,6029,45.0
249790971,1.3413060600891709,0.009532896267334556,5923,39.0
249810309,1.3884339373277463,0.010906709654628588,5771,66.0
249829497,1.4262291344225253,0.010484058677805108,5778,39.0
249869231,0.9971805412788679,0.017104329550017394,6543,40.0
249874527,1.0054411831942094,0.04032303042630514,6425,49.0
249877325,0.8029699352196522,0.030529019054163276,6695,100.0
250118096,1.2662715698866236,0.009433607423228185,6097,39.0
250141301,1.3841968732322598,0.01669714795288535,5869,40.0
250165973,1.2719742565602377,0.01087296113242886,6005,40.0
